Zipcode,SiteName,SiteType,Longitude,Latitude
78741,Amli Residential,Multifamily,-97.730198,30.245229
78702,Amli Residential,Multifamily,-97.731273,30.268964
78751,Other,Multifamily,-97.714957,30.316671000000003
78724,Other,Multifamily,-97.658889,30.319166
78702,Cypress Residential,Multifamily,-97.704573,30.258311
78704,Housing Authority of the City of Austin,Multifamily,-97.773865,30.248315
78705,Other,Multifamily,-97.743575,30.285871000000004
78752,Other,Multifamily,-97.714668,30.324758000000003
78722,Other,Single Family,-97.71003,30.294169
78752,Other,Multifamily,-97.71478499999999,30.337701000000003
78701,Amli Residential,Multifamily,-97.748074,30.266143
78701,Other,Multifamily,-97.733918,30.271082
78702,Other,ADU,-97.714054,30.278447999999997
78702,Housing Authority of the City of Austin,Multifamily,-97.726547,30.259144
78705,Other,Multifamily,-97.743941,30.288071999999996
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.708853,30.260303000000004
78723,Other,Multifamily,-97.70665799999999,30.308670000000003
78745,Frameworks Community Development Corporation,FourPlex,-97.8042,30.227193
78748,Accessible Housing Austin!,Single Family,-97.82220500000001,30.178196000000003
78741,Accessible Housing Austin!,Single Family,-97.691337,30.224075
78744,Accessible Housing Austin!,Single Family,-97.756125,30.177722999999997
78749,Accessible Housing Austin!,Single Family,-97.83600799999999,30.211278000000004
78758,Greystar,Multifamily,-97.725581,30.393743
78723,Other,Multifamily,-97.668769,30.30718
78754,Roscoe Properties,Multifamily,-97.664626,30.332583000000003
78704,UAH Property Management,Multifamily,-97.756111,30.235242
78753,Other,Multifamily,-97.71088,30.348603999999998
78758,Other,Multifamily,-97.702694,30.366940999999997
78741,Good Harbor Management,Multifamily,-97.73119100000001,30.224565000000002
78741,Other,Multifamily,-97.702416,30.229521999999996
78702,Guardian Management,Multifamily,-97.720192,30.260721999999998
78723,Good Harbor Management,Multifamily,-97.704317,30.319659
78723,Other,Multifamily,-97.70360600000001,30.319351
78702,PRAK Property Management,Single Family,-97.72386,30.267028000000003
78702,PRAK Property Management,Single Family,-97.7237,30.266957
78702,PRAK Property Management,Single Family,-97.72470799999999,30.266283
78702,PRAK Property Management,Single Family,-97.724673,30.266166
78702,PRAK Property Management,Single Family,-97.724503,30.266121000000002
