OrganizationName,Category,ConnectionStatus,ConnectionColor,LocationName,CouncilDistrict,LocationAddress,LocationCity,LocationState,Zipcode,LocationCounty,FileName,ApplicationDocument,Longitude,Latitude,Location
Austin Independent School District,Public (Government) Facilities & Entities,,,Crockett,5,5601 Manchaca Rd,AUSTIN,TX,78745,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.797771,30.215236,"(30.215236, -97.797771)"
Austin Children's Shelter,"Social, Health, & Well-Being (including family services)",,,,9,4800 Manor Road,AUSTIN,TX,78723,Travis,Austin Children's Shelter.pdf,http://www.austintexas.gov/edims/document.cfm?id=205422,-97.688575,30.295656,"(30.295656, -97.688575)"
The Arc of the Capital Area,"Social, Health, & Well-Being (including family services)",,,,7,4902 Grover,AUSTIN,TX,78756,Travis,The Arc of the Capital Area.pdf,http://www.austintexas.gov/edims/document.cfm?id=205468,-97.736604,30.319114,"(30.319114, -97.736604)"
Texas Rio Grande Legal Aid,"Social, Health, & Well-Being (including family services)",,,,9,4920 N IH-35,AUSTIN,TX,78751,Travis,Texas Rio Grande Legal Aid.pdf,http://www.austintexas.gov/edims/document.cfm?id=205467,-97.711598,30.308221,"(30.308221, -97.711598)"
Austin Conv Center,Public (Government) Facilities & Entities,,,Austin Convention Center,9,500 E. Cesar Chavez St.,AUSTIN,TX,78701,Travis,Austin Convention Center.pdf,http://www.austintexas.gov/edims/document.cfm?id=205423,-97.739774,30.262064,"(30.262064, -97.739774)"
Austin Public Library,Public (Government) Facilities & Entities,,,Windsor Park Branch,1,5833 Westminster Drive,AUSTIN,TX,78723,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.690559,30.311258,"(30.311258, -97.690559)"
Southwest Key,"Education, Workforce, & Higher Education",,,,3,6002 Jain Lane,AUSTIN,TX,78721,Travis,SW Key - East Austin College Prep.pdf,http://www.austintexas.gov/edims/document.cfm?id=205462,-97.682861,30.260417,"(30.260417, -97.682861)"
Jewish Community Association of Austin,"Social, Health, & Well-Being (including family services)",,,,10,7300 Hart Lane,AUSTIN,TX,78731,Travis,Jewish Community Association of Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205446,-97.75468,30.357375,"(30.357375, -97.75468)"
Austin Public Library,Public (Government) Facilities & Entities,,,St. John Library,4,7500 Blessing Avenue,AUSTIN,TX,78752,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.693032,30.331949,"(30.331949, -97.693032)"
American Institute of Architects - Austin Chapter,"Education, Workforce, & Higher Education",,,,9,801 W. 12th Street,AUSTIN,TX,78701,Travis,American Institute of Architects - Austin Chapter.pdf,http://www.austintexas.gov/edims/document.cfm?id=205419,-97.748698,30.276127,"(30.276127, -97.748698)"
Austin Public Library,Public (Government) Facilities & Entities,,,Little Walnut Creek Library,4,835 W. Rundberg Land,AUSTIN,TX,78758,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.698295,30.363664,"(30.363664, -97.698295)"
Austin Public Library,Public (Government) Facilities & Entities,,,Recycled Reads,7,5335 Burnet Road,AUSTIN,TX,78756,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.739666,30.327013,"(30.327013, -97.739666)"
Austin Independent School District,Public (Government) Facilities & Entities,,,McCallum High,7,5600 Sunshine Dr,AUSTIN,TX,78756,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.729345,30.325919,"(30.325919, -97.729345)"
Austin Achieve,"Education, Workforce, & Higher Education",,,,1,5908 Manor Road,AUSTIN,TX,78721,Travis,Austin Achieve.pdf,http://www.austintexas.gov/edims/document.cfm?id=205420,-97.67975,30.306983,"(30.306983, -97.67975)"
Workforce Solutions Capital Area,"Education, Workforce, & Higher Education",,,,4,6505 Airport Blvd Ste 101,AUSTIN,TX,78752,Travis,Workforce Solutions Capital Area.pdf,http://www.austintexas.gov/edims/document.cfm?id=205473,-97.715691,30.33003,"(30.33003, -97.715691)"
Austin Public Library,Public (Government) Facilities & Entities,,,Cepeda Library,3,651 N. Pleasant Valley Road,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.709632,30.259785,"(30.259785, -97.709632)"
Austin Conv Center,Public (Government) Facilities & Entities,,,African American Cultural Heritage Facility,1,912 E. 11th Street,AUSTIN,TX,78702,Travis,Austin Convention Center.pdf,http://www.austintexas.gov/edims/document.cfm?id=205423,-97.73093,30.269836,"(30.269836, -97.73093)"
African-American Youth Harvest,"Education, Workforce, & Higher Education",,,,1,"6633 Highway 290 East, Suit 307",AUSTIN,TX,78735,Travis,AA Youth Harvest.pdf,http://www.austintexas.gov/edims/document.cfm?id=205417,-97.692871,30.320844,"(30.320844, -97.692871)"
CommUnityCare (William Cannon Facility),Public (Government) Facilities & Entities,,,William Cannon Facility,2,"6801 South IH-35, #1-E",AUSTIN,TX,78744,Travis,CommUnityCare Health Centers.pdf,http://www.austintexas.gov/edims/document.cfm?id=205436,-97.771529,30.188318,"(30.188318, -97.771529)"
Entrepreneurs Foundation,"Education, Workforce, & Higher Education",,,,9,"701 Brazos Street Floors 1, 5 and 16",AUSTIN,TX,78701,Travis,Entrepreneurs Founation.pdf,http://www.austintexas.gov/edims/document.cfm?id=205439,-97.740908,30.269196,"(30.269196, -97.740908)"
Austin Independent School District,Public (Government) Facilities & Entities,,,LBJ High School / Liberal Arts & Sciences,1,7309 Lazy Creek Dr,AUSTIN,TX,78724,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.657452,30.314412,"(30.314412, -97.657452)"
Manor ISD,Public (Government) Facilities & Entities,,,Decker Middle School,9,8104 Decker Lane,AUSTIN,TX,78724,Travis,Manor ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205450,-97.617693,30.307199,"(30.307199, -97.617693)"
Out Youth Austin,"Social, Health, & Well-Being (including family services)",,,,9,909 E. 49½ St.,AUSTIN,TX,78751,Travis,Out Youth Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205454,-97.714796,30.308849,"(30.308849, -97.714796)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Reagan High,9,7104 Berkman Dr,AUSTIN,TX,78752,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.689635,30.323972,"(30.323972, -97.689635)"
Austin Theater Alliance,"Arts, Culture, and Community",,,Paramount Theater,9,713 Congress Avenue,AUSTIN,TX,78701,Travis,Austin Theater Alliance.pdf,http://www.austintexas.gov/edims/document.cfm?id=205427,-97.742319,30.269417,"(30.269417, -97.742319)"
Austin Public Library,Public (Government) Facilities & Entities,,,Faulk Central Library,9,800 Guadalupe Street,AUSTIN,TX,78701,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.745495,30.27114,"(30.27114, -97.745495)"
Austin Public Library,Public (Government) Facilities & Entities,,,Austin History Center,,810 Guadalupe Street,AUSTIN,TX,78701,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.745347,30.271538,"(30.271538, -97.745347)"
"Child, Inc.","Social, Health, & Well-Being (including family services)",,,,4,818 E. 53rd Street,AUSTIN,TX,78751,Travis,Child Inc.pdf,http://www.austintexas.gov/edims/document.cfm?id=205435,-97.7142,30.313637,"(30.313637, -97.7142)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Anderson High,10,8403 Mesa Dr,AUSTIN,TX,78759,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.754173,30.376358,"(30.376358, -97.754173)"
Travis County Appraisal District,Public (Government) Facilities & Entities,,,,1,8314 Cross Park Drive,AUSTIN,TX,78754,Travis,Travis County Appaisal District.pdf,http://www.austintexas.gov/edims/document.cfm?id=205470,-97.671564,30.335801,"(30.335801, -97.671564)"
Huston-Tillotson University,"Education, Workforce, & Higher Education",,,,1,900 Chicon St,AUSTIN,TX,78702,Travis,Huston-Tillotson University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205445,-97.721209,30.264591,"(30.264591, -97.721209)"
